,id_c,education_background_c,professional_experience_c,skills_c,gender_c,agg_perceived_foreign_c
1024,1024,"[{'institution': 'University Of Vigo', 'start_date': 'September 2022', 'end_date': 'July 2023', 'degree': 'Master In Labor Management And Management'}, {'institution': 'University Of Hamburg', 'start_date': 'September 2006', 'end_date': 'July 2011', 'degree': 'Bachelor Of Science'}]","[{'institution': 'Cruz Roja', 'start_date': 'April 2022', 'end_date': 'Current', 'role': 'Social Educator', 'duration': '2 years, 11 months', 'duration_months': 35}]","['Teamwork', 'Microsoft Office', 'English', 'Spanish', 'Adaptability', 'Management', 'Customer Support']",Man,No
1026,1026,"[{'institution': 'Imes University', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'German School Abroad', 'start_date': 'June 2021', 'end_date': 'Current', 'role': 'Head Of Administration', 'duration': '3 years, 9 months', 'duration_months': 45}, {'institution': 'Beechamsmaytkline Seguros Equitativa', 'start_date': 'June 1983', 'end_date': 'December 1995', 'role': 'Security Guard', 'duration': '12 years, 6 months', 'duration_months': 150}]","['Sap Crm', 'Microsoft Dynamics', 'Customer Service', 'Management', 'Jira', 'Income Tax', 'Financial Analysis', 'Project Management', 'Spanish', 'Securities (Finance)', 'Risk Prevention', 'Subsidies', 'Stock Control', 'Customer Relationship Management', 'Billing', 'Fixed Income', 'Python (Programming Language)', 'Office', 'German', 'Truncation', 'Operations', 'Sap Erp']",Woman,No
1028,1028,"[{'institution': 'University Of Vigo', 'start_date': 'September 2022', 'end_date': 'July 2023', 'degree': 'Master In Labor Management And Management'}, {'institution': 'Universidad Pontificia Comillas', 'start_date': 'September 2017', 'end_date': 'June 2022', 'degree': 'Double Degree In Physical Activity And Sport Sciences And Primary Education With A Major In Foreign Language Studies'}, {'institution': 'University Of Masaryk Brno', 'start_date': 'September 2018', 'end_date': 'February 2019', 'degree': 'Erasmus'}]","[{'institution': 'Hipercasa Ourense', 'start_date': 'January 2021', 'end_date': 'October 2023', 'role': 'Dependant', 'duration': '2 years, 9 months', 'duration_months': 33}]","['Teamwork', 'Communications', 'Python (Programming Language)', 'German', 'English', 'Matlab', 'Spanish', 'Research', 'Management']",Man,No
1030,1030,"[{'institution': 'University Valencia Polytechnic', 'start_date': 'September 2020', 'end_date': 'June 2021', 'degree': 'Master In Business Management And Digital Transformationmba'}, {'institution': 'University Of Barcelona', 'start_date': 'January 2015', 'end_date': 'December 2016', 'degree': 'Master In Foreign Trade'}, {'institution': 'Complutense University Of Madrid', 'start_date': 'February 1976', 'end_date': 'November 1989', 'degree': 'Academic Bachelor'}]","[{'institution': 'Deutsche Bank Sae', 'start_date': 'January 2022', 'end_date': 'October 2022', 'role': 'Administrative Assistant', 'duration': '9 months', 'duration_months': 9}, {'institution': 'Deutsche Auslandsschule', 'start_date': 'May 2016', 'end_date': 'August 2021', 'role': 'Head Of Administration', 'duration': '5 years, 3 months', 'duration_months': 63}, {'institution': 'Chamber Of Crafts For Swabia', 'start_date': 'April 1987', 'end_date': 'December 1997', 'role': 'Consultant In Development', 'duration': '10 years, 8 months', 'duration_months': 128}]","['English', 'Commissioning', 'Business To Business', 'Portuguese', 'Castilian', 'Commercial Spirit', 'Iptv', 'Sap', 'Communication', 'Agile', 'Management', 'Problem Resolutiion', 'Strategic Planning', 'Communications', 'Marketing Analysis', 'Electronics', 'Office Suite', 'Critical Thinking', 'Sales', 'Customer Support', 'Planning', 'Tableau (Business Intelligence Software)', 'Marketing Strategies', 'Technical Support', 'Indicators', 'Distributed Temperature Sensing (Dts)', 'Billing', 'Microsoft Office', 'Swidish', 'Leadership', 'Negotiation']",Man,No
1032,1032,"[{'institution': 'International University Of La Rioja', 'start_date': 'September 2009', 'end_date': 'June 2013', 'degree': 'Masters Degree In Early Childhood Education'}, {'institution': 'University Of Santiago De Compostela', 'start_date': 'September 1997', 'end_date': 'December 1997', 'degree': 'Graduate In Business Administration And Management'}]","[{'institution': 'Imsop Insights Sa', 'start_date': 'January 2010', 'end_date': 'Current', 'role': 'Surveyor', 'duration': '15 years, 2 months', 'duration_months': 182}]","['Accounting', 'English']",Woman,No
1034,1034,"[{'institution': 'University Of Barcelona', 'start_date': 'January 2015', 'end_date': 'December 2016', 'degree': 'Master In Foreign Trade'}, {'institution': 'Udc', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Cc Economic And Business'}]","[{'institution': 'Collin Mdical', 'start_date': 'April 2023', 'end_date': 'August 2023', 'role': 'Rd Engineer Intern', 'duration': '4 months', 'duration_months': 4}, {'institution': 'Amazon  Nopar', 'start_date': 'July 2021', 'end_date': 'August 2021', 'role': 'Delivery Person', 'duration': '1 months', 'duration_months': 1}, {'institution': 'Zuniga Vives Sa', 'start_date': 'May 2003', 'end_date': 'July 2018', 'role': 'Commercial Agent', 'duration': '15 years, 2 months', 'duration_months': 182}]","['Attention', 'Microsoft Office', 'Spanish', 'Catalan', 'Communication']",Woman,No
1036,1036,"[{'institution': 'University Of Barcelona', 'start_date': 'January 2015', 'end_date': 'December 2016', 'degree': 'Master In Foreign Trade'}, {'institution': 'University Of Malaga', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Legal Consultancy Management And Estate Administration Services', 'start_date': 'August 2022', 'end_date': 'December 2022', 'role': 'Aux Adm', 'duration': '4 months', 'duration_months': 4}, {'institution': 'Banco Santander  Banco Popular  Banco Pastor', 'start_date': 'January 2017', 'end_date': 'April 2021', 'role': 'Business Manager  Director', 'duration': '4 years, 3 months', 'duration_months': 51}, {'institution': 'General Transport Alfonso', 'start_date': 'December 2001', 'end_date': 'February 2013', 'role': 'Carrier', 'duration': '11 years, 2 months', 'duration_months': 134}]","['English', 'Auditing', 'Spanish', 'Registration Evaluation Authorisation And Restriction Of Chemicals (Reach) Regulations', 'Subsidies', 'Mfg/Pro (Erp)', 'Customer Relationship Management', 'Customer Service', 'Real Estate']",Man,No
1038,1038,"[{'institution': 'University Of Vigo', 'start_date': 'September 2022', 'end_date': 'July 2023', 'degree': 'Master In Labor Management And Management'}, {'institution': 'Universidad Pontificia Comillas', 'start_date': 'September 2017', 'end_date': 'June 2022', 'degree': 'Double Degree In Physical Activity And Sport Sciences And Primary Education With A Major In Foreign Language Studies'}, {'institution': 'Radboud University', 'start_date': 'September 2018', 'end_date': 'February 2019', 'degree': 'Erasmus'}]","[{'institution': 'Nortempo Ett', 'start_date': 'January 2018', 'end_date': 'December 2018', 'role': 'Loadingunloadingwarehouse Waiter', 'duration': '11 months', 'duration_months': 11}]","['Teamwork', 'Microsoft Word', 'English', 'Writing', 'Devops', 'Management', 'Communications', 'Spanish', 'Infrastructure', 'Social Media', 'Research', 'Airflow', 'Psychiatry', 'Microsoft Excel', 'Matlab', 'Robotics', 'Application Programming Interface (Api)', 'Conflict Resolution', 'Conflict Management', 'Italian', 'Machine Learning', 'Templates', 'Apache Pig', 'Python (Programming Language)', 'German', 'Microsoft Office', 'Mailchimp', 'Apache Spark', 'Apache Kafka', 'Test Automation', 'Teaching', 'Development Programmes', 'Nosql', 'Microsoft Powerpoint', 'Luigi (Python Package)']",Woman,No
1039,1039,"[{'institution': 'International University Of La Rioja', 'start_date': 'September 2009', 'end_date': 'June 2013', 'degree': 'Masters Degree In Early Childhood Education'}, {'institution': 'University Of Tbingen', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Kiara Financieros Cb', 'start_date': 'November 2009', 'end_date': 'Current', 'role': 'Financial Agent', 'duration': '15 years, 4 months', 'duration_months': 184}]","['Jira', 'Income Tax', 'Billing', 'Human Capital Management (Hcm)', 'English', 'Operational Risk', 'Registration Evaluation Authorisation And Restriction Of Chemicals (Reach) Regulations', 'Project Management', 'Subsidies', 'Stock Control', 'Securities (Finance)', 'Mfg/Pro (Erp)', 'Truncation', 'Operations', 'Management', 'Accounting', 'Microsoft Dynamics', 'Fixed Income']",Woman,No
1041,1041,"[{'institution': 'Eae Business School', 'start_date': 'January 2023', 'end_date': 'December 2023', 'degree': 'Master En Supply Chain Management  Logistics'}, {'institution': 'Facex University Center', 'start_date': 'January 2014', 'end_date': 'December 2018', 'degree': 'Law Bachelor'}]","[{'institution': 'Delphi', 'start_date': 'January 2009', 'end_date': 'March 2018', 'role': 'Automotive Operator', 'duration': '9 years, 2 months', 'duration_months': 110}]","['Procurement', 'Sap Crm', 'Teamwork', 'Supply Chain', 'Business Intelligence', 'English', 'Workforce Management', 'Global Sourcing', 'Project Cargo', 'Team Management', 'Operational Planning', 'International Trade', 'Sourcing', 'Customer Service', 'Management', 'Service Quality', 'Problem Solving', 'Data Analysis', 'Communications', 'Spanish', 'Zendesk', 'Sales', 'Analytics', 'Customer Experience', 'Customer Support', 'Power Bi', 'Planning', 'Forecasting', 'Twilio', 'Indicators', 'Active Listening', 'Customer Support Analyst', 'Microsoft Office', 'International Business', 'Agile Software Development', 'Leadership', 'Capacity Planning', 'User Experience', 'Agile Methodology', 'Operations', 'Dimensioning', 'Registration', 'Onboarding', 'Tariff']",Man,No
1043,1043,"[{'institution': 'Imes University', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Ntt Data', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Supervisor Equipo De Agentes Atencin', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'Smh Automobile Sa Car Manufacturing', 'start_date': 'October 1986', 'end_date': 'April 2001', 'role': 'Electrical Mechanic', 'duration': '14 years, 6 months', 'duration_months': 174}]",['Sap Erp'],Man,Yes
1044,1044,"[{'institution': 'University Valencia Polytechnic', 'start_date': 'September 2020', 'end_date': 'June 2021', 'degree': 'Master In Business Management And Digital Transformationmba'}, {'institution': 'University Of Tbingen', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'National Netherlands', 'start_date': 'November 2021', 'end_date': 'Current', 'role': 'Financial Agent', 'duration': '3 years, 4 months', 'duration_months': 40}, {'institution': 'Egatur Sa', 'start_date': 'October 2016', 'end_date': 'June 2017', 'role': 'Accounting Manager', 'duration': '8 months', 'duration_months': 8}, {'institution': 'Darga Expres And Luroda Negocios', 'start_date': 'October 2003', 'end_date': 'May 2016', 'role': 'Accounting And Administration', 'duration': '12 years, 7 months', 'duration_months': 151}]","['Accounting', 'English', 'Mfg/Pro (Erp)', 'Customer Relationship Management', 'Billing', 'Management']",Woman,No
1047,1047,"[{'institution': 'University Valencia Polytechnic', 'start_date': 'September 2020', 'end_date': 'June 2021', 'degree': 'Master In Business Management And Digital Transformationmba'}, {'institution': 'German School', 'start_date': 'February 1976', 'end_date': 'November 1989', 'degree': 'Academic Bachelor'}]","[{'institution': 'El Sol Distributions', 'start_date': 'August 2009', 'end_date': 'Current', 'role': 'Administrative Officer', 'duration': '15 years, 7 months', 'duration_months': 187}]","['English', 'Commissioning', 'Business To Business', 'Portuguese', 'Rapidminer', 'Castilian', 'Reconciliation', 'Mfg/Pro (Erp)', 'Commercial Spirit', 'Iptv', 'Sap', 'Communication', 'Agile', 'Management', 'Problem Resolutiion', 'Strategic Planning', 'Communications', 'Commercial Management', 'Marketing Analysis', 'Spanish', 'Electronics', 'Office Suite', 'Critical Thinking', 'Sales', 'Customer Support', 'Microsoft Excel', 'Collections', 'Planning', 'Tableau (Business Intelligence Software)', 'Marketing Strategies', 'Technical Support', 'Indicators', 'Distributed Temperature Sensing (Dts)', 'Billing', 'Microsoft Office', 'Self-Control', 'Swidish', 'Leadership', 'Negotiation', 'Microsoft Powerpoint']",Man,No
1050,1050,"[{'institution': 'International University Of La Rioja', 'start_date': 'September 2009', 'end_date': 'June 2013', 'degree': 'Masters Degree In Early Childhood Education'}, {'institution': 'University Of Tbingen', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Tecatel Sl', 'start_date': 'November 2015', 'end_date': 'Current', 'role': 'Chief Executive Officer', 'duration': '9 years, 4 months', 'duration_months': 112}, {'institution': 'General Transport Alfonso', 'start_date': 'December 2005', 'end_date': 'February 2014', 'role': 'Carrier', 'duration': '8 years, 2 months', 'duration_months': 98}]","['English', 'Subsidies', 'Stock Control', 'Accounting', 'Fixed Income']",Woman,No
1052,1052,"[{'institution': 'Eae Business School', 'start_date': 'January 2023', 'end_date': 'December 2023', 'degree': 'Master En Supply Chain Management  Logistics'}, {'institution': 'Facex University Center', 'start_date': 'January 2014', 'end_date': 'December 2018', 'degree': 'Law Bachelor'}]","[{'institution': 'Retail Day', 'start_date': 'January 2016', 'end_date': 'Current', 'role': 'Replenishing Cashier', 'duration': '9 years, 2 months', 'duration_months': 110}]","['Procurement', 'Sap Crm', 'Teamwork', 'Supply Chain', 'Business Intelligence', 'English', 'Global Sourcing', 'Project Cargo', 'Team Management', 'Operational Planning', 'International Trade', 'Sourcing', 'Customer Service', 'Management', 'Data Analysis', 'Service Quality', 'Problem Solving', 'Communications', 'Spanish', 'Zendesk', 'Sales', 'Analytics', 'Customer Experience', 'Customer Support', 'Planning', 'Forecasting', 'Indicators', 'Customer Support Analyst', 'Microsoft Office', 'International Business', 'Agile Software Development', 'Leadership', 'Capacity Planning', 'User Experience', 'Agile Methodology', 'Operations', 'Registration', 'Tariff']",Man,No
1054,1054,"[{'institution': 'University Of Santiago De Compostela', 'start_date': 'September 1997', 'end_date': 'December 1997', 'degree': 'Graduate In Business Administration And Management'}]","[{'institution': 'Collin Mdical', 'start_date': 'April 2023', 'end_date': 'August 2023', 'role': 'Rd Engineer Intern', 'duration': '4 months', 'duration_months': 4}, {'institution': 'Amazon  Nopar', 'start_date': 'July 2006', 'end_date': 'August 2021', 'role': 'Delivery Person', 'duration': '15 years, 1 months', 'duration_months': 181}]","['Commercial Management', 'Big Data', 'Collections', 'Microsoft Office', 'English', 'Billing', 'Self-Control', 'Typing', 'Rapidminer', 'Management', 'Accounting Management', 'Mfg/Pro (Erp)', 'Microstrategy', 'Accounting', 'Microsoft Powerpoint', 'Computer Science']",Man,Yes
1055,1055,"[{'institution': 'Ies Ses Estacions', 'start_date': 'October 2021', 'end_date': 'Current', 'degree': 'Fp Higher Degree Administration and Finance'}]","[{'institution': 'Sanitas', 'start_date': 'January 2013', 'end_date': 'September 2022', 'role': 'Customer Service Administrative', 'duration': '9 years, 8 months', 'duration_months': 116}]",['Management'],Man,No
1057,1057,"[{'institution': 'Eca Group Bureau Veritas', 'start_date': 'January 2010', 'end_date': 'December 2010', 'degree': 'Master In Business Administration And Management'}, {'institution': 'Ies Pablo Serrano', 'start_date': 'September 1989', 'end_date': 'June 1993', 'degree': 'Fp Ii Higher Degree In Management Informatics'}]","[{'institution': 'Tamara  Caribbean Boutique', 'start_date': 'November 2023', 'end_date': 'April 2024', 'role': 'Founder  Managing Director', 'duration': '5 months', 'duration_months': 5}, {'institution': 'Legal Advice Jose Rodriguez Rodriguez Sl', 'start_date': 'January 1992', 'end_date': 'April 2007', 'role': 'Labor tax and accounting administrative', 'duration': '15 years, 3 months', 'duration_months': 183}]","['Microsoft Word', 'Balance Sheet', 'English', 'Empathy', 'Mfg/Pro (Erp)', 'Purchasing', 'Accounting', 'Management Systems', 'Management', 'Consulting', 'Professionalism', 'Technical Services', 'Quotations', 'M4', 'Management Control', 'Business Development', 'Microsoft Excel', 'Microsoft Outlook', 'Office Automation', 'Customer Relationship Management', 'Financial Accounting', 'Real Estate', 'International Business', 'Occupational Health And Safety Management System (Ohsas)', 'Computer Aided Engineering (Cae)', 'Change Management']",Woman,Yes
1059,1059,"[{'institution': 'University Of Malaga', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Dxc Technology', 'start_date': 'April 2008', 'end_date': 'October 2023', 'role': 'Administrative Mortgage Back Office', 'duration': '15 years, 6 months', 'duration_months': 186}]","['Income Tax', 'Project Management', 'Registration Evaluation Authorisation And Restriction Of Chemicals (Reach) Regulations', 'Billing', 'Customer Service', 'Fixed Income']",Man,No
1062,1062,"[{'institution': 'International University Of La Rioja', 'start_date': 'September 2009', 'end_date': 'June 2013', 'degree': 'Masters Degree In Early Childhood Education'}, {'institution': 'Ies Pablo Serrano', 'start_date': 'September 1989', 'end_date': 'June 1993', 'degree': 'Fp Ii Higher Degree In Management Informatics'}]","[{'institution': 'Maltese Foreign Service', 'start_date': 'March 2010', 'end_date': 'May 2019', 'role': 'Project Leader', 'duration': '9 years, 2 months', 'duration_months': 110}, {'institution': 'Coach4Success', 'start_date': 'November 1997', 'end_date': 'March 2004', 'role': 'Consultant', 'duration': '6 years, 4 months', 'duration_months': 76}]","['Debugging', 'English', 'Securitization', 'Digitization', 'Mechanization', 'Mfg/Pro (Erp)', 'Customer Relationship Management', 'Pharmaceuticals', 'Accounting', 'Order Processing']",Woman,Yes
1065,1065,"[{'institution': 'Udc', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Cc Economic And Business'}]","[{'institution': 'Gedesco Service Spain Sa', 'start_date': 'November 2021', 'end_date': 'April 2022', 'role': 'Business Manager Western Andalusia', 'duration': '5 months', 'duration_months': 5}, {'institution': 'Banco Gallego Sa', 'start_date': 'August 2013', 'end_date': 'December 2016', 'role': 'Business Manager', 'duration': '3 years, 4 months', 'duration_months': 40}, {'institution': 'Banco Gallego Sa', 'start_date': 'January 1983', 'end_date': 'May 1995', 'role': 'Commercial Advisor', 'duration': '12 years, 4 months', 'duration_months': 148}]","['Galician', 'Spanish', 'French']",Woman,No
1066,1066,"[{'institution': 'Imes University', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Bundesdruckerei Gmbh', 'start_date': 'May 2023', 'end_date': 'December 2023', 'role': 'Guest Lecturer', 'duration': '7 months', 'duration_months': 7}, {'institution': 'Freelance', 'start_date': 'January 2002', 'end_date': 'November 2017', 'role': 'Financial Advisor', 'duration': '15 years, 10 months', 'duration_months': 190}]","['Jira', 'Python (Programming Language)', 'Office', 'Microsoft Dynamics', 'English', 'Auditing', 'Registration Evaluation Authorisation And Restriction Of Chemicals (Reach) Regulations', 'Loans', 'Real Estate', 'Spanish', 'Securities (Finance)', 'Management', 'Mfg/Pro (Erp)', 'Risk Prevention', 'Electronics', 'Customer Relationship Management', 'Customer Service', 'Fixed Income']",Woman,No
1070,1070,"[{'institution': 'University Of Vigo', 'start_date': 'September 2022', 'end_date': 'July 2023', 'degree': 'Master In Labor Management And Management'}, {'institution': 'University Of Hamburg', 'start_date': 'October 2017', 'end_date': 'December 2020', 'degree': 'Master of Arts'}, {'institution': 'Radboud University', 'start_date': 'September 2018', 'end_date': 'February 2019', 'degree': 'Erasmus'}, {'institution': 'Complutense University Of Madrid', 'start_date': 'October 2013', 'end_date': 'August 2017', 'degree': 'Bachelor of Arts'}]","[{'institution': 'Mega Arquitectos Asociados SL', 'start_date': 'October 2004', 'end_date': 'July 2005', 'role': 'Technical Administrative Assistant', 'duration': '9 months', 'duration_months': 9}]","['Communications', 'Teamwork', 'Python (Programming Language)', 'Microsoft Office', 'English', 'German', 'Sql (Programming Language)', 'Spanish', 'Writing', 'Research', 'Management']",Man,No
1071,1071,"[{'institution': 'University Of Vigo', 'start_date': 'September 2022', 'end_date': 'July 2023', 'degree': 'Master In Labor Management And Management'}, {'institution': 'Complutense University Of Madrid', 'start_date': 'September 2006', 'end_date': 'July 2011', 'degree': 'Bachelor Of Science'}]","[{'institution': 'Wrigley Gmbh', 'start_date': 'October 2015', 'end_date': 'February 2016', 'role': 'Customer Service', 'duration': '4 months', 'duration_months': 4}]","['Teamwork', 'Creativity', 'Communications', 'Microsoft Office', 'English', 'Spanish', 'Management', 'Customer Support']",Man,No
1073,1073,"[{'institution': 'Facex University Center', 'start_date': 'January 2014', 'end_date': 'December 2018', 'degree': 'Law Bachelor'}]","[{'institution': 'Mega Arquitectos Asociados', 'start_date': 'March 1996', 'end_date': 'July 2005', 'role': 'Technical Administrative Assistant', 'duration': '9 years, 4 months', 'duration_months': 112}]","['Teamwork', 'Customer Support Analyst', 'Business Intelligence', 'Microsoft Office', 'Planning', 'Agile Software Development', 'Leadership', 'Twilio', 'Indicators', 'Agile Methodology', 'Team Management', 'Dimensioning', 'Data Analysis', 'Customer Service', 'Management', 'Customer Support']",Man,No
1074,1074,"[{'institution': 'Eca Group Bureau Veritas', 'start_date': 'January 2010', 'end_date': 'December 2010', 'degree': 'Master In Business Administration And Management'}, {'institution': 'University Of Santiago De Compostela', 'start_date': 'September 1997', 'end_date': 'December 1997', 'degree': 'Graduate In Business Administration And Management'}]","[{'institution': 'Montfrisa', 'start_date': 'February 2023', 'end_date': 'Current', 'role': 'Logistics Operator', 'duration': '2 years, 1 months', 'duration_months': 25}, {'institution': 'Leroy Merlin', 'start_date': 'September 2020', 'end_date': 'October 2020', 'role': 'Warehouse Manager', 'duration': '1 months', 'duration_months': 1}, {'institution': 'Seviguide Bpo', 'start_date': 'October 2005', 'end_date': 'June 2006', 'role': 'Warehouse And Logistics Manager', 'duration': '8 months', 'duration_months': 8}, {'institution': 'Weko Ag Mechanical Engineering Biel', 'start_date': 'August 1982', 'end_date': 'December 1995', 'role': 'Electrical Mechanicservice Technician', 'duration': '13 years, 4 months', 'duration_months': 160}]","['Microsoft Excel', 'Billing', 'Microsoft Powerpoint', 'English', 'Mfg/Pro (Erp)', 'Accounting', 'Management']",Woman,No
1075,1075,"[{'institution': 'University Valencia Polytechnic', 'start_date': 'September 2020', 'end_date': 'June 2021', 'degree': 'Master In Business Management And Digital Transformationmba'}, {'institution': 'King Juan Carlos University', 'start_date': 'September 1997', 'end_date': 'December 1997', 'degree': 'Graduate In Business Administration And Management'}]","[{'institution': 'Caixabank Unicaja Banesto And Bbva', 'start_date': 'January 2022', 'end_date': 'October 2022', 'role': 'Administrative Assistant', 'duration': '9 months', 'duration_months': 9}, {'institution': 'Cars Korea Sa', 'start_date': 'November 2004', 'end_date': 'July 2020', 'role': 'Used Vehicle Commercial Advisor', 'duration': '15 years, 8 months', 'duration_months': 188}]","['Teamwork', 'English', 'Writing', 'Purchasing', 'Administrative Functions', 'Customer Service', 'Management', 'Statistics', 'Communications', 'Spanish', 'Process Improvement', 'English - Intermediate B2.', 'Business Correspondence', 'Catalan', 'Automation', 'Collections', 'Business Negotiation', 'Filing', 'Administrative Law', 'Honestly', 'Punctuality', 'Dedication', 'Adaptability', 'Emergency Response', 'Proactivity', 'Urban Planning', 'Negotiation']",Man,No
1079,1079,"[{'institution': 'University Of Tbingen', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Intrum', 'start_date': 'February 2023', 'end_date': 'April 2024', 'role': 'Head Of Global Talent And Leadership Learning', 'duration': '1 year, 2 months', 'duration_months': 14}, {'institution': 'Parish Of San Miguel De Soternes', 'start_date': 'June 2008', 'end_date': 'January 2023', 'role': 'Administrative', 'duration': '14 years, 7 months', 'duration_months': 175}]","['English', 'Planning', 'Innovation', 'Accounting', 'Management']",Man,No
1081,1081,"[{'institution': 'Miguel Cervantes European University', 'start_date': 'January 2010', 'end_date': 'December 2010', 'degree': 'Master In Business Administration And Management'}, {'institution': 'Ies Pablo Serrano', 'start_date': 'September 1989', 'end_date': 'June 1993', 'degree': 'Fp Ii Higher Degree In Management Informatics'}]","[{'institution': 'Imsop Insights Sa', 'start_date': 'January 2010', 'end_date': 'Current', 'role': 'Surveyor', 'duration': '15 years, 2 months', 'duration_months': 182}]","['Accounting', 'Customer Relationship Management', 'English']",Woman,No
1082,1082,"[{'institution': 'University Of Vigo', 'start_date': 'September 2022', 'end_date': 'July 2023', 'degree': 'Master In Labor Management And Management'}, {'institution': 'University Of Groningen', 'start_date': 'September 2016', 'end_date': 'February 2020', 'degree': 'Bachelor Of Arts In International Relations And International Organization'}, {'institution': 'University Of Masaryk Brno', 'start_date': 'September 2018', 'end_date': 'February 2019', 'degree': 'Erasmus'}]","[{'institution': 'Mega Arquitectos Asociados SL', 'start_date': 'October 2004', 'end_date': 'July 2005', 'role': 'Technical Administrative Assistant', 'duration': '9 months', 'duration_months': 9}]","['Communications', 'Spanish', 'Python (Programming Language)', 'English']",Man,No
1083,1083,"[{'institution': 'Eca Group Bureau Veritas', 'start_date': 'January 2010', 'end_date': 'December 2010', 'degree': 'Master In Business Administration And Management'}, {'institution': 'King Juan Carlos University', 'start_date': 'September 1997', 'end_date': 'December 1997', 'degree': 'Graduate In Business Administration And Management'}]","[{'institution': 'Montfrisa', 'start_date': 'February 2010', 'end_date': 'Current', 'role': 'Logistics Operator', 'duration': '15 years, 1 months', 'duration_months': 181}]","['Management', 'English']",Woman,No
1085,1085,"[{'institution': 'University Of Barcelona', 'start_date': 'January 2015', 'end_date': 'December 2016', 'degree': 'Master In Foreign Trade'}, {'institution': 'Udc', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Cc Economic And Business'}]","[{'institution': 'Intrum', 'start_date': 'February 2023', 'end_date': 'April 2024', 'role': 'Head Of Global Talent And Leadership Learning', 'duration': '1 year, 2 months', 'duration_months': 14}, {'institution': 'Bodegn Vandama And Berlaymont', 'start_date': 'October 2001', 'end_date': 'May 2016', 'role': 'Accounting And Administration', 'duration': '14 years, 7 months', 'duration_months': 175}]","['Attention', 'Galician', 'Employer Branding', 'English', 'Leadership Development', 'Strategic Management', 'Erp Management', 'Blended Learning', 'Corporate Security', 'Storage Area Network (San)', 'Team Management', 'Management Systems', 'Communication', 'Management', 'Mobility', 'Employee Benefits', 'Policy Development', 'Global Mobility', 'Spanish', 'Employee Relations', 'Branding', 'People Management', 'Internal Controls', 'Career Development', 'Strategic Thinking', 'Catalan', 'Research', 'Legislation', 'Talent Acquisition', 'Performance Management', 'Human Capital Management (Hcm)', 'Planning', 'Scale (Map)', 'Conflict Resolution', 'Operations Management', 'Goal Setting', 'French', 'Optics', 'Coordinating', 'Resolution Capacity', 'Microsoft Office', 'Human Capital', 'Client Services', 'Leadership', 'Employee Engagement', 'Operations', 'Simulations', 'Settlement']",Woman,No
1086,1086,"[{'institution': 'Universitat Pompeu Fabra', 'start_date': 'January 2015', 'end_date': 'December 2016', 'degree': 'Master In Foreign Trade'}, {'institution': 'University Of Tbingen', 'start_date': 'January 2000', 'end_date': 'December 2000', 'degree': 'Graduate In Economics'}]","[{'institution': 'Salou Nuevo Habitat Sl Cala Pins Sl', 'start_date': 'June 2021', 'end_date': 'Current', 'role': 'Accountant', 'duration': '3 years, 9 months', 'duration_months': 45}, {'institution': 'Newco Holding Optics Sl', 'start_date': 'January 2005', 'end_date': 'November 2017', 'role': 'Financial Advisor', 'duration': '12 years, 10 months', 'duration_months': 154}]","['English', 'Loans', 'Microsoft Dynamics', 'Management', 'Customer Service', 'Jira', 'Income Tax', 'Financial Analysis', 'Spanish', 'Project Management', 'Securities (Finance)', 'Electronics', 'Risk Prevention', 'Operational Risk', 'Subsidies', 'Stock Control', 'Customer Relationship Management', 'Billing', 'Real Estate', 'Python (Programming Language)', 'Office', 'German', 'Auditing', 'Registration Evaluation Authorisation And Restriction Of Chemicals (Reach) Regulations', 'Operations']",Man,No
1087,1087,"[{'institution': 'Philipps University Of Marburg', 'start_date': 'January 2022', 'end_date': 'October 2023', 'degree': 'Master in Business Management'}, {'institution': 'Facex University Center', 'start_date': 'January 2014', 'end_date': 'December 2018', 'degree': 'Law Bachelor'}]","[{'institution': 'Habitat Litoral SL', 'start_date': 'March 2004', 'end_date': 'May 2011', 'role': 'Technical Administrative Assistant', 'duration': '7 years, 2 months', 'duration_months': 86}]","['Planning', 'Problem Solving']",Woman,No
